Cliente;Regional2;Gerencia2;SubCanal2;Categoria;Nevera
71;Regional 1;Gerencia_5;Subcanal_2;Categoria_2;0
72;Regional 1;Gerencia_5;Subcanal_2;Categoria_3;0
73;Regional 1;Gerencia_5;Subcanal_2;Categoria_3;1
74;Regional 1;Gerencia_5;Subcanal_3;Categoria_2;0
75;Regional 1;Gerencia_3;Subcanal_8;Categoria_3;0
76;Regional 1;Gerencia_5;Subcanal_8;Categoria_2;0
77;Regional 1;Gerencia_3;Subcanal_11;Categoria_2;1
78;Regional 1;Gerencia_3;Subcanal_12;Categoria_5;1
79;Regional 1;Gerencia_3;Subcanal_1;Categoria_3;1
80;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;0
81;Regional 1;Gerencia_3;Subcanal_3;Categoria_3;0
82;Regional 1;Gerencia_5;Subcanal_8;Categoria_1;1
83;Regional 1;Gerencia_5;Subcanal_3;Categoria_2;0
84;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
85;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
86;Regional 1;Gerencia_2;Subcanal_5;Categoria_3;0
87;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
88;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
89;Regional 1;Gerencia_3;Subcanal_2;Categoria_2;1
90;Regional 1;Gerencia_4;Subcanal_5;Categoria_3;1
91;Regional 1;Gerencia_4;Subcanal_2;Categoria_1;1
92;Regional 1;Gerencia_3;Subcanal_3;Categoria_3;0
93;Regional 1;Gerencia_5;Subcanal_1;Categoria_2;0
94;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
95;Regional 1;Gerencia_5;Subcanal_9;Categoria_2;0
96;Regional 1;Gerencia_4;Subcanal_11;Categoria_3;0
97;Regional 1;Gerencia_5;Subcanal_1;Categoria_2;0
98;Regional 1;Gerencia_3;Subcanal_3;Categoria_3;0
99;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
100;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
101;Regional 1;Gerencia_5;Subcanal_6;Categoria_2;0
102;Regional 1;Gerencia_5;Subcanal_8;Categoria_2;0
103;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;1
104;Regional 1;Gerencia_3;Subcanal_2;Categoria_2;1
105;Regional 1;Gerencia_2;Subcanal_4;Categoria_3;1
106;Regional 1;Gerencia_3;Subcanal_2;Categoria_2;1
107;Regional 1;Gerencia_6;Subcanal_4;Categoria_3;0
108;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
109;Regional 1;Gerencia_3;Subcanal_8;Categoria_3;0
110;Regional 1;Gerencia_4;Subcanal_1;Categoria_1;1
111;Regional 1;Gerencia_3;Subcanal_3;Categoria_1;1
112;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
113;Regional 1;Gerencia_6;Subcanal_12;Categoria_4;1
114;Regional 1;Gerencia_3;Subcanal_5;Categoria_3;0
115;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
116;Regional 1;Gerencia_6;Subcanal_10;Categoria_3;0
117;Regional 1;Gerencia_3;Subcanal_4;Categoria_3;0
118;Regional 1;Gerencia_4;Subcanal_2;Categoria_2;0
119;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
120;Regional 1;Gerencia_6;Subcanal_5;Categoria_2;0
121;Regional 1;Gerencia_4;Subcanal_3;Categoria_4;0
122;Regional 1;Gerencia_5;Subcanal_1;Categoria_2;0
123;Regional 1;Gerencia_5;Subcanal_1;Categoria_1;0
124;Regional 1;Gerencia_6;Subcanal_11;Categoria_3;0
125;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
126;Regional 1;Gerencia_6;Subcanal_1;Categoria_1;1
127;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
128;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;1
129;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;0
130;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
131;Regional 1;Gerencia_3;Subcanal_10;Categoria_2;0
132;Regional 1;Gerencia_2;Subcanal_1;Categoria_1;0
133;Regional 1;Gerencia_5;Subcanal_2;Categoria_2;0
134;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
135;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;0
136;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
137;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;1
138;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
139;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
140;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
141;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
142;Regional 1;Gerencia_3;Subcanal_7;Categoria_2;1
143;Regional 1;Gerencia_4;Subcanal_13;Categoria_3;1
144;Regional 1;Gerencia_4;Subcanal_2;Categoria_3;1
145;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;1
146;Regional 1;Gerencia_6;Subcanal_5;Categoria_3;1
147;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
148;Regional 1;Gerencia_6;Subcanal_5;Categoria_6;1
149;Regional 1;Gerencia_4;Subcanal_7;Categoria_2;0
150;Regional 1;Gerencia_6;Subcanal_4;Categoria_1;1
151;Regional 1;Gerencia_5;Subcanal_4;Categoria_1;0
152;Regional 1;Gerencia_5;Subcanal_7;Categoria_1;0
153;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
154;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;1
155;Regional 1;Gerencia_6;Subcanal_1;Categoria_2;1
156;Regional 1;Gerencia_3;Subcanal_7;Categoria_2;1
157;Regional 1;Gerencia_4;Subcanal_6;Categoria_1;0
158;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;1
159;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
160;Regional 1;Gerencia_5;Subcanal_6;Categoria_3;0
161;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
162;Regional 1;Gerencia_6;Subcanal_1;Categoria_1;0
163;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;1
164;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
165;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
166;Regional 1;Gerencia_6;Subcanal_5;Categoria_2;1
167;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;1
168;Regional 1;Gerencia_4;Subcanal_5;Categoria_4;1
169;Regional 1;Gerencia_4;Subcanal_8;Categoria_2;1
170;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;0
171;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
172;Regional 1;Gerencia_6;Subcanal_11;Categoria_1;1
173;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;1
174;Regional 1;Gerencia_4;Subcanal_2;Categoria_2;1
175;Regional 1;Gerencia_6;Subcanal_11;Categoria_1;0
176;Regional 1;Gerencia_5;Subcanal_1;Categoria_1;1
177;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
178;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;1
179;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;0
180;Regional 1;Gerencia_4;Subcanal_1;Categoria_2;1
181;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;0
182;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;1
183;Regional 1;Gerencia_6;Subcanal_8;Categoria_3;0
184;Regional 1;Gerencia_5;Subcanal_6;Categoria_1;0
185;Regional 1;Gerencia_6;Subcanal_4;Categoria_2;1
186;Regional 1;Gerencia_3;Subcanal_2;Categoria_1;0
187;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;0
188;Regional 1;Gerencia_6;Subcanal_10;Categoria_2;0
189;Regional 1;Gerencia_3;Subcanal_14;Categoria_1;0
190;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
191;Regional 1;Gerencia_4;Subcanal_3;Categoria_1;0
192;Regional 1;Gerencia_3;Subcanal_1;Categoria_3;1
193;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
194;Regional 1;Gerencia_3;Subcanal_4;Categoria_2;1
195;Regional 1;Gerencia_4;Subcanal_13;Categoria_1;1
196;Regional 1;Gerencia_4;Subcanal_1;Categoria_3;1
197;Regional 1;Gerencia_3;Subcanal_2;Categoria_2;1
198;Regional 1;Gerencia_3;Subcanal_8;Categoria_3;1
199;Regional 1;Gerencia_2;Subcanal_7;Categoria_3;0
200;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
201;Regional 1;Gerencia_3;Subcanal_4;Categoria_2;1
202;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
203;Regional 1;Gerencia_3;Subcanal_5;Categoria_2;1
204;Regional 1;Gerencia_6;Subcanal_1;Categoria_2;1
205;Regional 1;Gerencia_4;Subcanal_4;Categoria_2;0
206;Regional 1;Gerencia_6;Subcanal_1;Categoria_3;1
207;Regional 1;Gerencia_3;Subcanal_1;Categoria_1;0
208;Regional 1;Gerencia_2;Subcanal_7;Categoria_3;0
209;Regional 1;Gerencia_4;Subcanal_11;Categoria_2;0
210;Regional 1;Gerencia_6;Subcanal_6;Categoria_3;0
211;Regional 1;Gerencia_2;Subcanal_4;Categoria_2;1
212;Regional 1;Gerencia_4;Subcanal_13;Categoria_3;1
213;Regional 1;Gerencia_6;Subcanal_5;Categoria_2;0
214;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;1
215;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
216;Regional 1;Gerencia_4;Subcanal_8;Categoria_2;0
217;Regional 1;Gerencia_3;Subcanal_10;Categoria_1;1
218;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
219;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;0
220;Regional 1;Gerencia_2;Subcanal_2;Categoria_1;1
221;Regional 1;Gerencia_5;Subcanal_8;Categoria_2;0
222;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
223;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
224;Regional 1;Gerencia_3;Subcanal_6;Categoria_2;0
225;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
226;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
227;Regional 1;Gerencia_4;Subcanal_8;Categoria_2;1
228;Regional 1;Gerencia_3;Subcanal_8;Categoria_1;1
229;Regional 1;Gerencia_4;Subcanal_4;Categoria_2;1
230;Regional 1;Gerencia_4;Subcanal_10;Categoria_2;1
231;Regional 1;Gerencia_4;Subcanal_5;Categoria_3;1
232;Regional 1;Gerencia_3;Subcanal_2;Categoria_3;1
233;Regional 1;Gerencia_2;Subcanal_1;Categoria_1;1
234;Regional 1;Gerencia_4;Subcanal_6;Categoria_2;1
235;Regional 1;Gerencia_2;Subcanal_6;Categoria_1;0
236;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
237;Regional 1;Gerencia_4;Subcanal_8;Categoria_1;0
238;Regional 1;Gerencia_4;Subcanal_6;Categoria_1;0
239;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
240;Regional 1;Gerencia_6;Subcanal_10;Categoria_4;0
241;Regional 1;Gerencia_6;Subcanal_3;Categoria_4;0
242;Regional 1;Gerencia_3;Subcanal_2;Categoria_3;1
243;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
244;Regional 1;Gerencia_6;Subcanal_15;Categoria_4;1
245;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
246;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;1
247;Regional 1;Gerencia_3;Subcanal_4;Categoria_2;0
248;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
249;Regional 1;Gerencia_4;Subcanal_9;Categoria_1;1
250;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;1
251;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
252;Regional 1;Gerencia_2;Subcanal_9;Categoria_1;0
253;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
254;Regional 1;Gerencia_3;Subcanal_8;Categoria_3;0
255;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
256;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
257;Regional 1;Gerencia_3;Subcanal_5;Categoria_2;0
258;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;1
259;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
260;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;0
261;Regional 1;Gerencia_3;Subcanal_6;Categoria_2;0
262;Regional 1;Gerencia_6;Subcanal_6;Categoria_3;0
263;Regional 1;Gerencia_6;Subcanal_14;Categoria_1;1
264;Regional 1;Gerencia_2;Subcanal_10;Categoria_4;0
265;Regional 1;Gerencia_2;Subcanal_3;Categoria_1;1
266;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
267;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
268;Regional 1;Gerencia_6;Subcanal_5;Categoria_3;1
269;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
270;Regional 1;Gerencia_4;Subcanal_1;Categoria_3;0
271;Regional 1;Gerencia_3;Subcanal_10;Categoria_1;1
272;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
273;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;0
274;Regional 1;Gerencia_4;Subcanal_5;Categoria_3;1
275;Regional 1;Gerencia_3;Subcanal_11;Categoria_3;0
276;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
277;Regional 1;Gerencia_6;Subcanal_10;Categoria_4;0
278;Regional 1;Gerencia_6;Subcanal_10;Categoria_4;0
279;Regional 1;Gerencia_4;Subcanal_4;Categoria_5;1
280;Regional 1;Gerencia_6;Subcanal_5;Categoria_4;1
281;Regional 1;Gerencia_6;Subcanal_10;Categoria_4;0
282;Regional 1;Gerencia_4;Subcanal_8;Categoria_3;1
283;Regional 1;Gerencia_6;Subcanal_2;Categoria_4;1
284;Regional 1;Gerencia_5;Subcanal_7;Categoria_5;1
285;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
286;Regional 1;Gerencia_5;Subcanal_8;Categoria_2;1
287;Regional 1;Gerencia_4;Subcanal_4;Categoria_2;1
288;Regional 1;Gerencia_6;Subcanal_3;Categoria_4;1
289;Regional 1;Gerencia_6;Subcanal_11;Categoria_4;0
290;Regional 1;Gerencia_4;Subcanal_6;Categoria_2;1
291;Regional 1;Gerencia_2;Subcanal_7;Categoria_2;0
292;Regional 1;Gerencia_6;Subcanal_1;Categoria_3;1
293;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;1
294;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
295;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
296;Regional 1;Gerencia_6;Subcanal_11;Categoria_3;0
297;Regional 1;Gerencia_2;Subcanal_2;Categoria_2;0
298;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
299;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;1
300;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
301;Regional 1;Gerencia_2;Subcanal_2;Categoria_3;1
302;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
303;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
304;Regional 1;Gerencia_2;Subcanal_2;Categoria_2;1
305;Regional 1;Gerencia_2;Subcanal_4;Categoria_1;1
306;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
307;Regional 1;Gerencia_6;Subcanal_5;Categoria_3;1
308;Regional 1;Gerencia_5;Subcanal_11;Categoria_1;0
309;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
310;Regional 1;Gerencia_6;Subcanal_1;Categoria_3;1
311;Regional 1;Gerencia_6;Subcanal_11;Categoria_3;1
312;Regional 1;Gerencia_2;Subcanal_2;Categoria_1;1
313;Regional 1;Gerencia_3;Subcanal_4;Categoria_1;1
314;Regional 1;Gerencia_4;Subcanal_3;Categoria_1;0
315;Regional 1;Gerencia_2;Subcanal_3;Categoria_3;1
316;Regional 1;Gerencia_4;Subcanal_6;Categoria_2;1
317;Regional 1;Gerencia_5;Subcanal_3;Categoria_2;0
318;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
319;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
320;Regional 1;Gerencia_6;Subcanal_2;Categoria_2;1
321;Regional 1;Gerencia_2;Subcanal_4;Categoria_3;1
322;Regional 1;Gerencia_4;Subcanal_10;Categoria_3;0
323;Regional 1;Gerencia_6;Subcanal_4;Categoria_3;1
324;Regional 1;Gerencia_6;Subcanal_11;Categoria_3;0
325;Regional 1;Gerencia_4;Subcanal_11;Categoria_1;1
326;Regional 1;Gerencia_6;Subcanal_8;Categoria_4;1
327;Regional 1;Gerencia_6;Subcanal_5;Categoria_3;1
328;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
329;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
330;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
331;Regional 1;Gerencia_3;Subcanal_8;Categoria_2;1
332;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
333;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;1
334;Regional 1;Gerencia_6;Subcanal_6;Categoria_2;0
335;Regional 1;Gerencia_2;Subcanal_4;Categoria_1;1
336;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
337;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
338;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;1
339;Regional 1;Gerencia_3;Subcanal_2;Categoria_1;1
340;Regional 1;Gerencia_4;Subcanal_6;Categoria_3;1
341;Regional 1;Gerencia_6;Subcanal_5;Categoria_1;0
342;Regional 1;Gerencia_2;Subcanal_3;Categoria_3;0
343;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
344;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;1
345;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
346;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
347;Regional 1;Gerencia_4;Subcanal_11;Categoria_3;0
348;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;0
349;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
350;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
351;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
352;Regional 1;Gerencia_3;Subcanal_1;Categoria_2;1
353;Regional 1;Gerencia_3;Subcanal_3;Categoria_3;1
354;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
355;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
356;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
357;Regional 1;Gerencia_2;Subcanal_3;Categoria_5;0
358;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
359;Regional 1;Gerencia_2;Subcanal_1;Categoria_2;0
360;Regional 1;Gerencia_2;Subcanal_3;Categoria_1;1
361;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
362;Regional 1;Gerencia_5;Subcanal_4;Categoria_2;0
363;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
364;Regional 1;Gerencia_5;Subcanal_11;Categoria_1;1
365;Regional 1;Gerencia_6;Subcanal_6;Categoria_3;0
366;Regional 1;Gerencia_4;Subcanal_11;Categoria_3;0
367;Regional 1;Gerencia_3;Subcanal_3;Categoria_1;0
368;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
369;Regional 1;Gerencia_2;Subcanal_11;Categoria_4;0
370;Regional 1;Gerencia_6;Subcanal_14;Categoria_1;1
371;Regional 1;Gerencia_2;Subcanal_6;Categoria_2;0
372;Regional 1;Gerencia_6;Subcanal_2;Categoria_2;1
373;Regional 1;Gerencia_6;Subcanal_11;Categoria_3;0
374;Regional 1;Gerencia_4;Subcanal_8;Categoria_1;1
375;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
376;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
377;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
378;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
379;Regional 1;Gerencia_2;Subcanal_1;Categoria_3;1
380;Regional 1;Gerencia_2;Subcanal_10;Categoria_3;1
381;Regional 1;Gerencia_6;Subcanal_12;Categoria_4;0
382;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
383;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
384;Regional 1;Gerencia_3;Subcanal_7;Categoria_2;1
385;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;0
386;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
387;Regional 1;Gerencia_6;Subcanal_11;Categoria_2;0
388;Regional 1;Gerencia_4;Subcanal_1;Categoria_1;0
389;Regional 1;Gerencia_2;Subcanal_3;Categoria_1;0
390;Regional 1;Gerencia_3;Subcanal_3;Categoria_2;0
391;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
392;Regional 1;Gerencia_3;Subcanal_5;Categoria_3;1
393;Regional 1;Gerencia_6;Subcanal_2;Categoria_2;1
394;Regional 1;Gerencia_6;Subcanal_6;Categoria_2;0
395;Regional 1;Gerencia_4;Subcanal_3;Categoria_3;0
396;Regional 1;Gerencia_4;Subcanal_1;Categoria_1;0
397;Regional 1;Gerencia_6;Subcanal_3;Categoria_1;0
398;Regional 1;Gerencia_4;Subcanal_5;Categoria_2;1
399;Regional 1;Gerencia_3;Subcanal_4;Categoria_4;1
400;Regional 1;Gerencia_4;Subcanal_3;Categoria_2;1
401;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;1
402;Regional 1;Gerencia_4;Subcanal_6;Categoria_3;0
403;Regional 1;Gerencia_5;Subcanal_3;Categoria_1;0
404;Regional 1;Gerencia_6;Subcanal_2;Categoria_2;1
405;Regional 1;Gerencia_4;Subcanal_3;Categoria_1;0
406;Regional 1;Gerencia_2;Subcanal_3;Categoria_1;0
407;Regional 1;Gerencia_4;Subcanal_6;Categoria_2;0
408;Regional 1;Gerencia_2;Subcanal_3;Categoria_2;1
409;Regional 1;Gerencia_2;Subcanal_1;Categoria_3;1
410;Regional 1;Gerencia_6;Subcanal_10;Categoria_3;0
411;Regional 1;Gerencia_4;Subcanal_2;Categoria_2;1
412;Regional 1;Gerencia_4;Subcanal_5;Categoria_2;1
413;Regional 1;Gerencia_3;Subcanal_2;Categoria_3;0
414;Regional 1;Gerencia_6;Subcanal_5;Categoria_3;1
415;Regional 1;Gerencia_6;Subcanal_1;Categoria_2;0
416;Regional 1;Gerencia_4;Subcanal_2;Categoria_1;1
417;Regional 1;Gerencia_6;Subcanal_6;Categoria_2;0
418;Regional 1;Gerencia_6;Subcanal_10;Categoria_1;1
419;Regional 1;Gerencia_6;Subcanal_3;Categoria_3;0
420;Regional 1;Gerencia_4;Subcanal_8;Categoria_2;0
421;Regional 1;Gerencia_6;Subcanal_1;Categoria_3;1
422;Regional 1;Gerencia_6;Subcanal_3;Categoria_2;0
